Bee Gees,How Deep Is Your Love,0UW7iflqJYC9NuKlYeMKXD,5,0.615,0.358,5,-10.125,0,0.0268,0.204,0.00000257,0.199,0.677,105.001,245067,4
Andy Gibb,I Just Want to be Your Everything,5EdlwzcgIAYs2HGvOnczPN,5,0.648,0.656,9,-7.393,1,0.0345,0.169,0.0000117,0.164,0.831,97.093,225667,4
Gilbert O'Sullivan,Alone Again (Naturally),6vuEG9sZtC4W2zT64f7zLF,5,0.558,0.464,8,-8.488,0,0.0354,0.583,0.000133,0.159,0.559,171.762,217729,4
10cc,I'm Not In Love,1A6Kwtsg3JWKU2KWM2udpM,5,0.388,0.669,4,-10.949,1,0.0666,0.696,0.00281,0.293,0.23,133.507,368227,4
Fleetwood Mac,Rhiannon,05oETzWbd4SI33qK2gbJfR,5,0.723,0.49,9,-14.745,0,0.0296,0.111,0.0946,0.0923,0.795,129.012,252773,4
Fleetwood Mac,Gypsy,19Ym5Sg0YyOCa6ao21bdoG,5,0.622,0.54,5,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879,264907,4
Christopher Cross,Sailing,6Hu6dzwlvoyg3zBUC8k4BK,5,0.469,0.382,2,-13.203,1,0.0374,0.364,0.00025,0.36,0.178,149.994,256147,4
Frankie Goes to Hollywood,Relax,5VB2p0S9jlSXEUNT5wckIQ,5,0.676,0.7,11,-13.397,0,0.0391,0.334,0.000014,0.0462,0.692,114.932,236800,4
Rickie Lee Jones,Chuck E's In Love,3Z7mFVDy2izZNCvUWGy13Z,5,0.78,0.388,9,-9.939,1,0.094,0.313,0,0.14,0.68,113.218,210093,4
Wings,Silly Love Songs,3bC0IKk62yB6TDaratb1s2,5,0.737,0.331,0,-16.141,1,0.0356,0.223,0.233,0.137,0.827,125.084,352933,4
Commodores,Sail On,3DF7KtKAHE4tf8O3PaENGO,5,0.482,0.475,1,-10.639,1,0.0426,0.325,0.00000233,0.093,0.46,141.355,242160,4
The Emotions,Best of My Love,6UjlpJhUqOQqv0hrb38IDI,5,0.764,0.57,0,-11.361,1,0.0348,0.45,0.362,0.0812,0.972,115.376,219933,4
Doobie Brothers,What a Fool Believes,2yBVeksU2EtrPJbTu4ZslK,5,0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,223867,4
Gerry Rafferty,Baker Street,5gOd6zDC8vhlYjqbQdJVWP,5,0.497,0.349,7,-14,1,0.0297,0.0929,0.028,0.259,0.421,113.762,365627,4
Tom Petty,The Waiting,4ZA0EXmjnZIYguEMf0Mc88,5,0.562,0.907,2,-4.465,1,0.0338,0.0578,0,0.306,0.723,119.947,238160,4
